RegionType,RegionName,City,State,Metro,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Baton Rouge,Baton Rouge,LA,"Baton Rouge, LA",43,4.37671107866399,90.68,,,163300,0.86473131562693,8.28912466843501,0.02582976117575,,0.091541583107885,0.048083985838818,63
City,New Orleans,New Orleans,LA,"New Orleans, LA",44,4.61398065340391,90.06,,,172000,0.998238402818555,-0.807381776239908,,,0.106489511819658,0.052983590482909,88.5
City,Arlington,Arlington,TX,"Dallas-Fort Worth, TX",45,9.25716371600657,98.53,1.6569,0.4017,182400,0.385250412768299,7.6741440377804,0.043262061403509,,,,47
City,Raleigh,Raleigh,NC,"Raleigh, NC",46,7.60266471983939,94.12,1.9087,0.2546,224200,0.313199105145414,5.06091846298032,0.035374665477252,,0.077614245495055,0.017396592369263,50
City,Wichita,Wichita,KS,"Wichita, KS",47,3.32998722394598,96.15,,,121800,-0.733496332518337,5.27225583405359,,,0.063169679169845,0.01884814532738,62
City,Tampa,Tampa,FL,"Tampa, FL",48,7.62365395145099,86.59,,,188000,0.588550026752274,12.8451380552221,0.043271276595745,,0.114122026244868,0.06416320407322,78
City,Anaheim,Anaheim,CA,"Los Angeles-Long Beach-Anaheim, CA",49,6.55229056397153,93.91,2.8915,0.8866,572300,0.210120819471196,4.87447315374748,0.011205661366416,,0.050382931845534,0.02606197460426,58
City,Santa Ana,Santa Ana,CA,"Los Angeles-Long Beach-Anaheim, CA",50,6.67731337835371,93.94,3.4732,1.14,520500,0.405092592592593,9.32577189666037,0.026716618635927,,0.06734607176803,0.035609618902169,56
City,Aurora,Aurora,CO,"Denver, CO",51,9.4259901441869,98.8,1.9755,0.1166,290900,0.657439446366782,9.1966966966967,0.034011687865246,,0.055086101098533,0.00747905364622,46
City,Saint Louis,Saint Louis,MO,"St. Louis, MO",52,6.04854900529294,80.52,7.1151,5.6176,131300,4.95603517186251,18.2882882882883,0.068819497334349,,0.159043045903023,0.038309435824803,69
City,Cincinnati,Cincinnati,OH,"Cincinnati, OH",53,4.0728235079394,100,,2.798,126400,0.636942675159236,7.11864406779661,0.031518987341772,,0.131047764399023,0.043404122835906,66
City,Pittsburgh,Pittsburgh,PA,"Pittsburgh, PA",54,8.7671107866399,93.51,0.5153,0.6094,126200,1.28410914927769,6.13961312026913,0.034920760697306,,0.088503375649531,0.025712665089552,72
City,Riverside,Riverside,CA,"Riverside, CA",55,6.91549552838109,90.97,3.2183,1.3886,353400,-0.197684269980232,5.39815090963316,0.050466893039049,,0.088757718522609,0.03448819916174,62
City,Marietta,Marietta,GA,"Atlanta, GA",56,7.20660704508122,96.55,,,260100,0.308522946394138,5.09090909090909,0.045378700499808,,0.078948462837876,0.01866766876223,60
City,Anchorage,Anchorage,AK,"Anchorage, AK",57,4.92881912757803,82.74,,,295800,0.101522842639594,1.37080191912269,0.042434077079107,,0.160209421750699,0.011314784757178,77
City,Bakersfield,Bakersfield,CA,"Bakersfield, CA",58,2.22212082496806,82.23,5.8913,2.4375,218700,-0.045703839122486,3.0631479736098,0.024238683127572,,0.158220539220204,0.039313703265284,72
City,Saint Paul,Saint Paul,MN,"Minneapolis-St Paul, MN",59,6.16718379266289,90.34,6.9963,0.7157,197900,0.507872016251904,8.97577092511013,0.026811520970187,,0.075536705357706,0.029901516655303,64
City,Toledo,Toledo,OH,"Toledo, OH",60,1.85709070998357,,,,62900,0.801282051282051,6.42978003384095,0.018648648648649,,0.22802027647482,0.055075315996651,73
City,Silver Spring,Silver Spring,MD,"Washington, VA",61,4.11480197116262,89.29,4.5746,0.7787,388800,0.180365885081165,1.9669551534225,0.020069444444445,,0.114262618428336,0.042692519901612,79
City,Lexington,Lexington,KY,"Lexington, KY",62,7.95583135608688,92.67,0.1553,,168500,0.898203592814371,5.84170854271357,0.033454005934718,,0.07574171348978,0.018862530085719,58
City,Newark,Newark,NJ,"New York, NY",63,0.121372513232342,,,,225700,-0.044286979627989,0.133096716947649,0.010983606557377,,0.292231685788394,0.204397571354834,160
City,Tallahassee,Tallahassee,FL,"Tallahassee, FL",64,2.65285636064975,78.29,,,169000,0.475624256837099,4.51453308596166,0.034834319526627,,0.125900022581081,0.060429260149052,71
City,Stockton,Stockton,CA,"Stockton, CA",65,7.34988136521263,88.27,6.6524,1.6228,267600,0.828937452901281,12.248322147651,0.0622533632287,,0.115528829881297,0.032188208138196,59.5
City,Plano,Plano,TX,"Dallas-Fort Worth, TX",66,9.88319036320496,96.46,0.5214,0.1346,330900,0.485879137564531,7.19144800777454,0.047796917497734,,,,50
City,Chandler,Chandler,AZ,"Phoenix, AZ",67,7.71947435663442,83.65,3.1891,0.3506,283400,0.460829493087558,5.58867362146051,0.024371912491179,,0.097079331311652,0.011804931102566,59
City,Louisville,Louisville,KY,"Louisville/Jefferson County, KY",68,6.98393867494068,88.8,,0.1489,119400,0.759493670886076,3.64583333333333,0.032185929648241,,0.092696949085241,0.020923808478448,63
City,Henderson,Henderson,NV,"Las Vegas, NV",69,5.83956926446432,79.72,5.9293,1.5258,282600,0.497866287339972,7.20789074355084,0.04916135881104,,0.131498184637866,0.050153942890395,63
City,Modesto,Modesto,CA,"Modesto, CA",70,6.42179229786457,92.26,6.0809,1.1087,265700,0.188536953242836,8.98277276456112,0.025705683101242,,0.094141389441805,0.024177997909827,60
City,Mobile,Mobile,AL,"Mobile, AL",71,3.82277787917503,,,,110700,0.090415913200723,2.5949953660797,0.03390243902439,,0.164098688729141,0.037029272668201,105
City,Jersey City,Jersey City,NJ,"New York, NY",72,7.25588611060413,,,,408000,0.99009900990099,24.7324977071232,0.085073529411765,,0.19523178918451,0.083561179441533,98
City,Glendale,Glendale,AZ,"Phoenix, AZ",74,8.39843037050557,87.55,4.9757,0.7853,218200,0.599354541263255,8.77367896311067,0.035394133822182,,0.101096781098942,0.020708908177741,61
City,Durham,Durham,NC,"Durham, NC",75,7.27231246577843,96.27,,,192300,0.575313807531381,7.97304884896126,0.04244409776391,,0.078610881120894,0.019000526292595,53
City,Orlando,Orlando,FL,"Orlando, FL",76,8.12648293484212,82.48,,,172300,0.819192510239906,10.8038585209003,0.048374927452118,,0.113405337754631,0.051743483355333,77
City,Norfolk,Norfolk,VA,"Virginia Beach, VA",77,0.780251870779339,77.65,7.6304,11.8873,181700,0.331308669243512,3.23863636363636,0.020033021463952,,0.218210970669931,0.043610331657903,92
City,Saint Petersburg,Saint Petersburg,FL,"Tampa, FL",78,7.61726592443877,90.99,,,185800,0.37817396002161,13.0858186244674,0.047142088266954,,0.091006247534594,0.075731041790334,74
City,Pensacola,Pensacola,FL,"Pensacola, FL",79,7.04964409563789,91.67,,,135500,0.668647845468053,10.8837970540098,0.043808118081181,,0.127492511169571,0.062902887829673,85
City,Fort Wayne,Fort Wayne,IN,"Fort Wayne, IN",80,2.67840846869867,100,,,100100,-0.099800399201597,5.81395348837209,0.030509490509491,,0.087300724328506,0.045131649309749,56
City,Greensboro,Greensboro,NC,,81,2.50958204051834,82.93,,,130800,0.615384615384615,5.9967585089141,,,0.101041387522997,0.041540522575277,64
City,Lincoln,Lincoln,NE,"Lincoln, NE",82,8.98430370505567,95.06,1.803,2.0353,165000,0.671140939597315,7.98429319371728,0.038242424242424,,0.060538760601662,0.00853634270932,56
City,San Bernardino,San Bernardino,CA,"Riverside, CA",83,6.44278152947618,92.44,4.9184,2.8815,257900,0.506625097427903,7.14582467802243,0.052764637456378,,0.113749656644488,0.059820953913265,70
City,Corona,Corona,CA,"Riverside, CA",84,7.50228143821865,91.67,4.8015,1.3078,449300,0.559534467323187,5.1978459377195,0.046225239261073,,0.083835737850576,0.040108949760023,61
City,Chula Vista,Chula Vista,CA,"San Diego, CA",85,6.91732067895601,88.14,3.7086,1.4906,502100,0.339728217426059,9.00998697351281,0.033736307508465,,0.076218003890687,0.035270375524169,53
City,Chesapeake,Chesapeake,VA,"Virginia Beach, VA",86,1.03486037598102,78.52,4.499,6.0328,249200,-0.399680255795364,2.1730217302173,0.019129213483146,,0.112714175019725,0.038328352498308,81
City,Hialeah,Hialeah,FL,"Miami-Fort Lauderdale, FL",87,8.67220295674393,89.66,,,239800,0.968421052631579,13.9192399049881,0.037948290241868,,0.124713519785603,0.050393779078759,110
City,Madison,Madison,WI,"Madison, WI",88,9.09746304070086,93.23,1.6149,0.335,234900,0.556506849315068,7.95036764705882,0.033742017879949,,0.060302811792891,0.013390793353734,62
City,Fontana,Fontana,CA,"Riverside, CA",89,7.56889943420332,91.4,5.4964,1.7319,354700,0.65266742338252,5.62835020845742,0.046532280800677,,0.087184965457187,0.048399166893485,68
City,Fort Myers,Fort Myers,FL,"Fort Myers, FL",90,6.32049644095638,85.71,,,204000,0.393700787401575,2.46107483676544,0.031509803921569,,0.081751549841377,0.029842103639131,125
City,Knoxville,Knoxville,TN,"Knoxville, TN",91,7.87734988136521,,,,130300,0.695517774343122,6.71580671580672,0.048388334612433,,0.098501183556488,0.01630780829143,65
City,Laredo,Laredo,TX,"Laredo, TX",92,7.25679868589159,100,,,122100,0.081967213114754,1.8348623853211,0.03965601965602,,,,82
City,North Las Vegas,North Las Vegas,NV,"Las Vegas, NV",93,4.24164993611973,78.61,10.4942,2.2342,216300,1.21665886757136,12.9503916449086,0.06329634766528,,0.192244960470019,0.062757961700046,56
City,Lawrenceville,Lawrenceville,GA,"Atlanta, GA",94,8.07081584230699,,,,190500,0.793650793650794,8.30017055144969,0.051501312335958,,0.078603269162398,0.038849259194218,57
City,Fremont,Fremont,CA,"San Francisco, CA",95,8.2870961854353,100,2.5191,0.1813,951600,0.07361447050163,5.26548672566372,0.011783312316099,,0.032424253768165,0.004808324381905,42
City,Fayetteville,Fayetteville,NC,"Fayetteville, NC",96,4.17868224128491,50,9.6578,7.5608,113500,0.799289520426288,3.36976320582878,0.041577092511013,,,,108
City,Springfield,Springfield,MO,"Springfield, MO",97,1.65358642087972,,,,115200,0.261096605744125,-1.79028132992327,0.026310763888889,,0.127515931663495,0.018188323237746,63
City,Arlington,Arlington,VA,"Washington, VA",98,7.1436393502464,91.67,,,651400,0.664503167980219,3.99106002554278,0.025380718452564,,0.108570869176347,0.00736863670456,62
City,Irving,Irving,TX,"Dallas-Fort Worth, TX",99,9.76181784997262,100,1.4992,0.2186,186500,0.75634792004322,8.11594202898551,0.045109919571046,,,,54
City,Gilbert,Gilbert,AZ,"Phoenix, AZ",100,7.2093447709436,90.82,4.0542,0.3471,299600,0.435802883003688,5.38163911361238,0.024155540720961,,0.102839663577724,0.014308424131661,57
City,Scottsdale,Scottsdale,AZ,"Phoenix, AZ",101,7.59080124110239,83.61,2.2153,0.5442,427700,0.328407224958949,3.93681652490887,0.018774842179097,,0.089921906703273,0.012584371534002,89
City,Rochester,Rochester,NY,"Rochester, NY",102,4.94524548275233,,,,81600,0.61652281134402,2.25563909774436,0.044166666666667,,0.076207910253058,0.115986084656415,81
City,Winston-Salem,Winston-Salem,NC,"Winston-Salem, NC",103,2.4164993611973,77.62,5.1199,4.5061,124600,0,5.95238095238095,0.037022471910112,,0.105467106494834,0.037460592511087,70
City,Irvine,Irvine,CA,"Los Angeles-Long Beach-Anaheim, CA",104,7.82624566526738,90.44,1.209,0.4799,792600,0.227617602427921,3.48609479044262,0.005261165783497,,0.059257964231282,0.010371556180124,60
City,Richmond,Richmond,VA,"Richmond, VA",105,5.87789742653769,91.49,9.6263,4.1017,185700,1.47540983606557,13.7170851194121,0.03751211631664,,0.128781534834169,0.032028471577531,64
City,Boca Raton,Boca Raton,FL,"Miami-Fort Lauderdale, FL",106,4.23069903267019,82.41,,,324000,0.589878919590189,4.11311053984576,0.005450617283951,,0.071275671505589,0.046848436870027,102
City,Oxnard,Oxnard,CA,"Ventura, CA",107,6.58605584960759,89.47,5.1164,1.7859,469900,0.707243891984569,6.8926296633303,0.03354117897425,,0.083345494074341,0.038472460571585,59
City,Bradenton,Bradenton,FL,"North Port-Sarasota-Bradenton, FL",108,3.95510129585691,82.33,,,222000,0.13531799729364,5.36307546274324,0.009418918918919,,0.068463434087398,0.050126263458889,110
City,Santa Rosa,Santa Rosa,CA,"Santa Rosa, CA",109,8.40390582223033,98.15,1.9503,0.664,541700,0.370576246062627,6.2156862745098,-0.001140852870593,,0.042395981639398,0.009179909724258,46
City,Des Moines,Des Moines,IA,"Des Moines, IA",110,3.22321591531301,83.33,1.9231,2.2128,121800,0.082169268693509,1.07883817427386,0.036633825944171,,0.09489722001514,0.045184793912029,60
City,Reno,Reno,NV,"Reno, NV",111,8.44497171016609,90.07,2.9459,0.711,323700,0.465549348230912,6.86695278969957,0.028260735248687,,0.063546792714152,0.036843957739265,61
